Rank,Team,TotalPoints,PreviousPoints
1,Argentina,1886.16,1867.25
2,Spain,1854.64,1853.27
3,France,1852.71,1859.78
4,England,1819.2,1813.81
5,Brazil,1776.03,1775.85
6,Netherlands,1752.44,1747.55
7,Portugal,1750.08,1756.12
8,Belgium,1735.75,1740.62
9,Italy,1718.31,1731.51
10,Germany,1716.98,1703.79
11,Croatia,1698.66,1691.59
12,Morocco,1694.24,1688.18
13,Uruguay,1679.49,1695.91
14,Colombia,1679.04,1694.44
15,Japan,1652.64,1652.79
16,USA,1648.81,1645.48
17,Mexico,1646.94,1627.4
18,IR Iran,1637.39,1635.31
19,Senegal,1630.32,1637.25
20,Switzerland,1624.75,1625.16
21,Denmark,1617.54,1611.49
22,Austria,1580.22,1589.84
23,Korea Republic,1574.93,1585.45
24,Ecuador,1567.95,1560.13
25,Ukraine,1559.81,1554.94
26,Australia,1554.55,1544.15
27,TÃ¼rkiye,1551.47,1537.24
28,Sweden,1536.05,1540.2
29,Wales,1535.57,1534.39
30,Canada,1531.58,1515.96
31,Serbia,1523.91,1514.28
32,Egypt,1518.79,1513.48
33,Panama,1517.66,1504.39
34,Poland,1517.35,1510.62
35,Russia,1516.27,1512.32
36,Algeria,1507.17,1495.85
37,Hungary,1503.34,1517.57
38,Norway,1497.18,1484.44
39,Czechia,1491.43,1484.88
40,Greece,1489.82,1489.88
41,CÃ´te d'Ivoire,1487.27,1478.47
42,Peru,1483.48,1488.42
43,Nigeria,1481.35,1482.23
44,Scotland,1480.3,1480.24
45,Romania,1479.22,1494.2
46,Slovakia,1477.78,1486.19
47,Venezuela,1476.84,1475.71
48,Paraguay,1475.93,1458.26
49,Tunisia,1474.1,1464.42
50,Cameroon,1465.72,1471.49
51,Slovenia,1462.66,1454.25
52,Chile,1461.91,1469.44
53,Mali,1460.23,1466.1
54,Costa Rica,1459.13,1454.99
55,Qatar,1456.58,1474.6
56,South Africa,1445.01,1428.87
57,Uzbekistan,1437.02,1424.93
58,Saudi Arabia,1418.96,1406.56
59,Iraq,1413.4,1442.86
60,Republic of Ireland,1412.23,1400.22
61,Congo DR,1406.59,1395.77
62,Jordan,1389.15,1375.91
63,Jamaica,1386.65,1390.85
64,Burkina Faso,1385.06,1373.76
65,United Arab Emirates,1382.7,1385.57
66,Albania,1375.95,1375.57
67,North Macedonia,1375.58,1368.96
68,Georgia,1373.05,1362.21
69,Finland,1359.79,1361.53
70,Bosnia and Herzegovina,1350.85,1326.69
71,Northern Ireland,1348.67,1349.58
72,Cabo Verde,1344.37,1328.51
73,Montenegro,1337.36,1326.76
74,Iceland,1336.55,1355.1
75,Honduras,1333.51,1325.93
76,Ghana,1333.13,1320.52
77,Oman,1323.91,1306.67
78,Israel,1321.78,1322.25
79,Gabon,1309.82,1297.87
80,Bolivia,1308.12,1308.58
81,El Salvador,1300.81,1300.81
82,Guinea,1292.63,1311.88
83,Haiti,1291.53,1287.75
84,Bahrain,1290.0,1305.52
85,Bulgaria,1289.03,1301.04
86,New Zealand,1284.68,1269.83
87,Angola,1279.55,1296.48
88,Zambia,1276.34,1279.24
89,Uganda,1273.83,1270.42
90,CuraÃ§ao,1264.78,1264.78
91,Luxembourg,1261.88,1256.42
92,Equatorial Guinea,1255.75,1256.2
93,Syria,1253.81,1249.47
94,China PR,1250.95,1266.38
95,Benin,1240.45,1250.99
96,Mozambique,1239.34,1232.7
97,Kosovo,1238.38,1219.82
98,Belarus,1235.36,1226.31
99,Thailand,1234.31,1231.17
100,Trinidad and Tobago,1229.52,1214.81
101,Palestine,1224.65,1215.87
102,Armenia,1208.31,1219.15
103,Kyrgyz Republic,1205.68,1194.19
104,Tajikistan,1203.42,1203.08
105,Comoros,1203.13,1208.99
106,Guatemala,1197.12,1201.35
107,Tanzania,1196.04,1199.33
108,Namibia,1192.29,1179.26
109,Vietnam,1183.83,1164.79
110,Mauritania,1179.56,1183.16
111,Kenya,1178.53,1189.65
112,Lebanon,1177.94,1171.43
113,Kazakhstan,1177.66,1180.18
114,Sudan,1173.59,1165.41
115,Madagascar,1162.86,1162.02
116,Zimbabwe,1160.51,1151.06
117,Libya,1155.19,1158.03
118,Korea DPR,1153.38,1164.41
119,Azerbaijan,1150.64,1158.7
120,Togo,1149.49,1152.18
121,Estonia,1144.48,1142.53
122,Niger,1143.24,1145.96
123,Indonesia,1142.92,1133.41
124,Sierra Leone,1140.06,1132.06
125,Congo,1136.31,1132.65
126,The Gambia,1133.42,1134.69
127,India,1132.03,1133.62
128,Guinea-Bissau,1128.27,1151.72
129,Cyprus,1128.2,1131.32
130,Rwanda,1127.36,1136.06
131,Malaysia,1123.57,1115.51
132,Malawi,1118.35,1129.31
133,Nicaragua,1114.28,1114.28
134,Kuwait,1112.12,1108.72
135,Central African Republic,1101.8,1102.23
136,Botswana,1101.2,1098.85
137,Suriname,1096.6,1096.6
138,Latvia,1092.49,1084.11
139,Dominican Republic,1087.21,1083.36
140,Burundi,1086.33,1087.26
141,Faroe Islands,1085.12,1096.88
142,Turkmenistan,1076.13,1065.42
143,Lithuania,1072.56,1069.96
144,Liberia,1068.31,1063.04
145,St Kitts and Nevis,1064.99,1064.99
146,Philippines,1063.01,1046.67
147,Ethiopia,1060.62,1059.94
148,Lesotho,1046.35,1046.76
149,Solomon Islands,1045.58,1051.0
150,Fiji,1043.44,1048.48
151,New Caledonia,1039.55,1034.43
152,Guyana,1037.91,1030.6
153,Hong Kong,1033.0,1028.76
154,Moldova,1031.37,1045.59
155,Eswatini,1022.87,1015.25
156,Tahiti,1019.04,1031.47
157,Puerto Rico,1018.98,1022.83
158,Yemen,1017.56,1018.27
159,Antigua and Barbuda,1010.97,1010.97
160,Afghanistan,1008.39,1025.0
161,Singapore,1002.26,1011.68
162,Myanmar,995.21,981.35
163,Vanuatu,991.59,994.22
164,Maldives,986.42,1001.39
165,St Lucia,985.72,985.72
166,Chinese Taipei,979.85,990.56
167,Cuba,979.72,994.43
168,Bermuda,977.53,988.19
169,Malta,976.35,983.95
170,South Sudan,975.6,973.55
171,Papua New Guinea,969.17,963.63
172,St Vincent and the Grenadines,966.11,961.92
173,Andorra,957.41,971.54
174,Grenada,954.39,955.44
175,Nepal,936.29,939.2
176,Barbados,933.3,933.3
177,Chad,925.12,935.41
178,Mauritius,921.61,923.46
179,Belize,919.26,925.02
180,Montserrat,914.26,914.26
181,Cambodia,912.67,920.0
182,Bhutan,906.8,904.06
183,Bangladesh,904.16,898.81
184,Dominica,900.0,900.0
185,Brunei Darussalam,893.35,899.87
186,American Samoa,883.17,883.17
187,Mongolia,879.75,879.75
188,Cook Islands,877.53,877.53
189,Samoa,876.41,876.41
190,Laos,876.4,890.08
191,Cayman Islands,866.71,866.71
192,Djibouti,865.75,877.37
193,Macau,865.29,868.79
194,SÃ£o TomÃ© and PrÃ­ncipe,865.08,878.09
195,Aruba,863.58,858.0
196,Gibraltar,843.19,848.58
197,Timor-Leste,839.53,846.8
198,Pakistan,838.25,842.59
199,Tonga,835.64,835.64
200,Sri Lanka,833.77,832.8
201,Somalia,832.13,829.81
202,Guam,823.08,824.65
203,Seychelles,820.71,831.19
204,Bahamas,818.58,818.58
205,Liechtenstein,813.86,821.71
206,Turks and Caicos Islands,803.98,803.98
207,British Virgin Islands,780.3,780.3
208,US Virgin Islands,779.71,779.71
209,Anguilla,769.31,769.31
210,San Marino,741.36,747.42
